WS-#,Site,Time,Date,pH,Type,deep C screen,Na mg/L,Mg mg/L,Al mg/L,Si mg/L,K mg/L,Ca mg/L,Mn mg/L,Fe mg/L,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L
1104,A5,09:30:00,2013-03-12T00:00:00Z,4.74,G2,NA,0.62,0.17,0.99,2.56,0.04,0.34,0.01,0.02,0.09,0.58,3.01,2.52,5.36,0.81,0.003,0.692,NA
1103,A5,09:30:00,2013-03-12T00:00:00Z,4.67,G2,NA,0.61,0.16,0.99,2.39,0.02,0.28,0.01,0.02,0.07,0.6,2.84,2.39,5.2,0.76,0.003,0.695,NA
1195,A5,10:24:00,2013-03-13T00:00:00Z,4.7,G2,NA,0.64,0.17,1.11,2.65,0.05,0.35,0.01,0.05,0.05,0.58,2.39,2.69,6.6,0.7,0.003,0.683,0.214
1637,A5,NA,2013-04-01T00:00:00Z,4.74,G2,NA,0.66,0.18,1.12,2.7,0.12,0.35,0.01,0.02,0.05,0.57,2.09,2.35,6.15,0.67,0.003,0.746,NA
1914,A5,NA,2013-04-11T00:00:00Z,NA,G2,NA,0.65,0.18,1.14,2.5,0.06,0.34,0.01,0.02,0.08,0.56,2.23,2.32,6.25,0.64,0.003,0.708,NA
2396,A5,NA,2013-09-03T00:00:00Z,4.86,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.38,0.24,2.78,8.2,0.24,0.007,NA,NA
2461,A5,NA,2014-06-13T00:00:00Z,4.71,G2,NA,0.68,0.19,1.11,2.46,0.13,0.49,0.01,0.02,0.05,0.67,1.62,2.65,7.57,0.54,0.008,NA,NA
2501,A5,NA,2014-06-14T00:00:00Z,4.87,G2,NA,0.71,0.2,1.06,2.19,0.13,0.41,0.01,0.02,0.04,0.58,1.84,2.44,6.38,0.59,0.003,0.694,0.196
2544,A5,NA,2014-06-16T00:00:00Z,4.63,G2,NA,0.65,0.18,1.09,2.27,0.12,0.41,0.01,0.02,0.08,0.89,1.98,2.41,6.45,0.56,0.003,0.732,0.196
2589,A5,10:45:00,2014-07-16T00:00:00Z,5.28,G2,NA,0.65,0.18,1.13,2.46,0.1,0.44,0.01,0.02,0.03,0.56,1.22,2.96,7.66,0.5,0.012,0.725,0.229
2629,A5,11:50:00,2014-08-04T00:00:00Z,4.76,G2,NA,0.6,0.19,1.06,2.12,0.09,0.45,0.01,0.02,0.01,0.44,1.5,2.51,7.1,0.51,0.003,0.637,0.213
191,N2,NA,2010-03-25T00:00:00Z,4.94,G2,NA,0.47,0.05,0.48,1.27,0.16,0.18,0.09,0.01,0.02,0.28,0.56,2.02,2.69,0.26,NA,NA,NA
372,N2,NA,2010-06-28T00:00:00Z,4.67,G2,NA,0.38,0.07,0.48,1.22,0.11,0.26,0.11,0.03,0.02,0.23,0.21,2.18,3.76,0.19,NA,NA,NA
468,N2,NA,2010-09-29T00:00:00Z,4.67,G2,NA,0.41,0.05,0.54,1.27,0.2,0.23,0.08,0.02,0.05,0.3,0.72,2.65,3.15,0.28,NA,NA,NA
605,N2,NA,2011-04-07T00:00:00Z,4.66,G2,NA,0.49,0.06,0.61,1.42,0.05,0.17,0.1,0.02,0.03,0.59,1.86,2.26,1.66,0.45,NA,NA,NA
636,N2,NA,2011-04-14T00:00:00Z,4.73,G2,NA,0.42,0.05,0.56,1.12,0.11,0.16,0.09,0.02,0.01,0.36,1.35,2.34,2.17,0.36,NA,NA,NA
662,N2,NA,2011-05-24T00:00:00Z,4.75,G2,NA,0.42,0.06,0.48,1.24,0.12,0.17,0.08,0.02,0.02,0.26,0.52,2.36,2.99,0.23,NA,NA,NA
673,N2,NA,2011-08-16T00:00:00Z,4.62,G2,NA,0.52,0.05,0.54,1.53,0.21,0.19,0.07,0.02,0.01,0.22,0.8,2.21,4.14,0.33,NA,NA,NA
699,N2,11:30:00,2011-08-29T00:00:00Z,4.67,G2,NA,0.39,0.05,0.44,1.26,0.12,0.2,0.08,0.02,0.01,0.19,0.2,2.13,3.12,0.17,NA,NA,NA
741,N2,NA,2012-02-01T00:00:00Z,4.85,G2,NA,0.45,0.08,0.78,1.67,0.07,0.24,0.14,0.02,0.01,0.44,4.44,1.73,1.62,1.04,NA,NA,NA
766,N2,NA,2012-03-22T00:00:00Z,4.68,G2,NA,0.46,0.08,0.72,1.47,0.16,0.22,0.16,0.02,0.01,0.34,3.81,1.87,2.4,0.94,NA,NA,NA
791,N2,NA,2012-04-24T00:00:00Z,4.76,G2,NA,0.44,0.08,0.6,1.75,0.38,0.25,0.16,0.02,0.02,0.57,2.95,1.76,2.5,0.76,NA,NA,NA
834,N2,NA,2012-08-10T00:00:00Z,4.56,G2,NA,0.28,0.07,0.6,1.61,0.15,0.29,0.14,0.02,0.02,0.23,1.01,2.38,5.41,0.38,NA,NA,NA
861,N2,NA,2012-10-09T00:00:00Z,4.89,G2,NA,0.32,0.04,0.33,1.52,0.07,0.26,0.12,0.02,0.02,0.3,0.12,2.46,2.32,0.13,0,0.351,0.047
870,N2,NA,2012-10-22T00:00:00Z,4.66,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.46,0.12,2.28,2.58,0.16,0.002,0.368,0.053
897,N2,10:35:00,2012-10-30T00:00:00Z,4.76,G2,NA,0.33,0.03,0.49,1.71,0.05,0.18,0.08,0.02,0,0.43,0.6,2.06,3.08,0.27,0.002,0.399,0.066
940,N2,13:24:00,2012-11-06T00:00:00Z,4.87,G2,NA,0.38,0.03,0.52,1.54,0.14,0.22,0.1,0.02,0.02,0.64,0.4,2.18,2.21,0.25,0.003,0.325,0.039
958,N2,10:41:00,2012-12-03T00:00:00Z,4.73,G2,NA,0.6,0.17,0.29,2.31,0.62,1.47,0.03,0.02,0.02,0.66,1.96,1.91,2.77,0.56,0.003,0.51,0.064
983,N2,12:44:00,2013-01-14T00:00:00Z,4.72,G2,NA,0.8,0.17,0.07,2.47,0.53,0.85,0.01,0.02,0.05,0.29,1.58,2.75,2.22,0.42,0.003,0.047,0.029
999,N2,10:00:00,2013-01-31T00:00:00Z,4.73,G2,NA,0.4,0.05,0.57,1.5,0.12,0.21,0.12,0.02,0.02,0.41,1.86,2.03,3.66,0.66,0.02,0.419,0.085
1650,N2,NA,2013-04-01T00:00:00Z,4.72,G2,NA,0.51,0.06,0.59,1.75,0.07,0.18,0.1,0.02,0.02,0.64,1.07,1.89,2.36,0.36,0.003,0.412,NA
1924,N2,NA,2013-04-11T00:00:00Z,NA,G2,NA,0.49,0.06,0.63,1.53,0.12,0.19,0.11,0.02,0.02,0.5,1.6,1.94,2.88,0.48,0.003,0.371,NA
2150,N2,NA,2013-06-28T00:00:00Z,4.71,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.29,0.28,1.71,4.62,0.23,NA,NA,NA
2527,N2,NA,2014-06-14T00:00:00Z,4.85,G2,NA,0.7,0.08,0.64,1.43,0.14,0.23,0.11,0.02,0.03,0.63,2.36,1.83,3.07,0.6,0.003,0.484,0.054
2570,N2,NA,2014-06-16T00:00:00Z,4.73,G2,NA,0.58,0.08,0.58,1.6,0.11,0.23,0.11,0.02,0.04,0.63,1.82,2.16,2.14,0.48,0.003,0.49,0.038
712,N4,NA,2011-11-03T00:00:00Z,4.9,G2,NA,0.45,0.11,0.54,1.89,0.12,0.28,0.12,0.07,0.02,0.34,1.93,2.91,2.45,0.53,NA,NA,NA
899,N4,11:00:00,2012-10-30T00:00:00Z,4.49,G2,NA,0.39,0.06,0.63,2.13,0.1,0.21,0.12,0.07,0.01,0.53,1.58,2.14,6.24,0.52,0.006,0.457,0.164
1114,N4,10:50:00,2013-03-12T00:00:00Z,4.72,G2,NA,0.42,0.05,0.52,1.53,0.01,0.12,0.07,0.02,0.06,0.56,2.54,2.22,1,0.7,0.003,0.537,NA
1113,N4,10:50:00,2013-03-12T00:00:00Z,4.51,G2,NA,0.44,0.07,0.81,1.84,0.08,0.14,0.14,0.02,0.06,0.56,6.07,1.68,1.56,1.5,0.003,0.756,NA
1210,N4,11:45:00,2013-03-13T00:00:00Z,4.57,G2,NA,0.44,0.07,0.61,1.41,0.18,0.21,0.13,0.07,0.04,0.78,2.53,2.15,4.62,0.74,0.003,0.478,0.122
1653,N4,NA,2013-04-01T00:00:00Z,4.45,G2,NA,0.52,0.07,0.68,1.75,0.19,0.22,0.14,0.07,0.03,0.51,3,1.84,5.72,0.86,0.003,0.507,NA
1927,N4,NA,2013-04-11T00:00:00Z,NA,G2,NA,0.45,0.06,0.6,1.44,0.19,0.17,0.11,0.07,0.03,0.41,1.31,2.02,5.94,0.46,0.003,0.344,NA
2129,N4,NA,2013-06-28T00:00:00Z,4.3,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.25,0.54,1.33,12.12,0.45,NA,NA,NA
2414,N4,NA,2013-09-03T00:00:00Z,4.33,G2,NA,0.65,0.14,0.95,2.46,0.26,0.54,0.24,0.05,0.03,0.25,8.24,1.46,6.14,2.08,0.008,0.666,0.138
2431,N4,15:15:00,2013-11-07T00:00:00Z,4.22,G2,NA,0.67,0.1,1.08,2.72,0.2,0.32,0.15,0.07,0.03,0.45,7.51,1.53,6.97,1.44,NA,NA,NA
2488,N4,NA,2014-06-13T00:00:00Z,4.5,G2,NA,0.64,0.13,0.68,1.91,0.2,0.31,0.18,0.07,0.05,0.64,4.59,1.58,5.26,1.21,0.003,0.591,0.174
2530,N4,NA,2014-06-14T00:00:00Z,4.45,G2,NA,0.76,0.1,0.68,1.78,0.19,0.27,0.14,0.1,0.12,0.57,3.39,1.64,8.02,0.95,0.003,0.461,0.191
2573,N4,NA,2014-06-16T00:00:00Z,4.46,G2,NA,0.62,0.11,0.67,1.96,0.21,0.29,0.16,0.07,0.06,0.61,3.7,1.73,5.43,0.98,0.003,0.484,0.145
2615,N4,12:50:00,2014-07-16T00:00:00Z,4.46,G2,NA,0.56,0.11,0.63,2.2,0.15,0.36,0.14,0.07,0.03,0.49,3.09,2.05,6.12,0.94,0.027,0.479,0.152
2692,N4,12:50:00,2014-10-07T00:00:00Z,4.15,G2,NA,0.37,0.11,1.05,2.28,0.63,0.49,0.25,0.2,0.03,1.09,3.09,1.39,20.39,1.24,0.064,0.687,0.461
2693,N4,13:45:00,2014-10-07T00:00:00Z,4.17,G2,NA,0.36,0.09,0.89,2.09,0.35,0.4,0.2,0.18,0.03,0.93,2.06,1.43,17.14,0.9,0.014,0.593,0.395
2694,N4,14:50:00,2014-10-07T00:00:00Z,4.22,G2,NA,0.39,0.07,0.76,2.01,0.14,0.27,0.13,0.13,0.06,0.83,2.06,1.46,10.45,0.72,0.003,0.54,0.294
2695,N4,15:45:00,2014-10-07T00:00:00Z,4.29,G2,NA,0.39,0.06,0.69,1.82,0.09,0.23,0.12,0.1,0.05,0.77,2.37,1.69,8.29,0.71,0.006,0.535,0.235
2713,N4,08:05:00,2014-10-08T00:00:00Z,4.21,G2,NA,0.4,0.07,0.72,1.73,0.22,0.31,0.15,0.16,0.05,0.78,0.67,1.5,14.87,0.51,0.003,0.465,0.323
2714,N4,09:10:00,2014-10-08T00:00:00Z,4.21,G2,NA,0.34,0.06,0.72,1.67,0.19,0.27,0.14,0.16,0.04,0.84,0.61,1.56,13.98,0.5,0.003,0.458,0.315
2715,N4,10:10:00,2014-10-08T00:00:00Z,4.25,G2,NA,0.36,0.06,0.7,1.69,0.18,0.25,0.13,0.16,0.03,0.84,0.65,1.62,12.35,0.52,0.01,0.468,0.306
2716,N4,11:05:00,2014-10-08T00:00:00Z,4.24,G2,NA,0.35,0.06,0.7,1.74,0.17,0.23,0.13,0.15,0.02,0.83,0.71,1.64,12.04,0.46,0.003,0.449,0.292
674,N5,NA,2011-08-16T00:00:00Z,5.75,G2,x,2.17,0.52,0.2,2.28,1.06,2.13,0.38,0.13,0.02,0.38,5.37,2.77,2.03,1.27,NA,NA,NA
698,N5,11:15:00,2011-08-29T00:00:00Z,5.16,G2,x,0.73,0.15,0.08,1.69,0.53,0.64,0.28,0.02,0.02,0.27,0.42,2.58,2.01,0.17,NA,NA,NA
714,N5,NA,2011-11-03T00:00:00Z,5.22,G2,x,0.4,0.07,0.49,1.45,0.13,0.19,0.12,0.02,0.04,0.31,0.95,2.28,1.56,0.28,NA,NA,NA
742,N5,NA,2012-02-01T00:00:00Z,4.86,G2,x,0.42,0.06,0.75,1.34,0.04,0.15,0.09,0.02,0.01,0.4,3.43,2,1.36,0.81,NA,NA,NA
767,N5,NA,2012-03-22T00:00:00Z,4.77,G2,x,0.51,0.06,0.83,1.39,0.06,0.15,0.09,0.02,0.01,0.42,4.35,1.87,1.19,1.05,NA,NA,NA
783,N5,NA,2012-04-24T00:00:00Z,4.65,G2,x,0.46,0.06,0.61,1.58,0.07,0.15,0.12,0.02,0.01,0.37,2.87,1.79,1.34,0.74,NA,NA,NA
835,N5,NA,2012-08-10T00:00:00Z,4.69,G2,x,0.59,0.08,0.49,1.68,0.18,0.23,0.19,0.02,0.03,0.49,1.93,2.31,1.84,0.69,NA,NA,NA
862,N5,NA,2012-10-09T00:00:00Z,4.79,G2,x,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.36,0.18,2.53,1.91,0.19,0.007,0.451,0.041
871,N5,NA,2012-10-22T00:00:00Z,4.71,G2,x,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.41,0.15,2.5,1.98,0.14,-0.002,0.507,0.04
890,N5,12:10:00,2012-10-29T00:00:00Z,4.86,G2,x,0.38,0.03,0.41,1.53,0.06,0.16,0.09,0.02,0.01,0.38,0.2,2.52,1.78,0.13,-0.003,0.459,0.036
900,N5,10:30:00,2012-10-30T00:00:00Z,4.8,G2,x,0.33,0.02,0.44,1.43,0.06,0.16,0.08,0.02,0.01,0.44,0.15,2.24,2.04,0.14,0.005,0.462,0.039
941,N5,13:30:00,2012-11-06T00:00:00Z,4.87,G2,x,0.48,0.03,0.58,1.37,0.13,0.18,0.08,0.02,0.03,0.56,0.16,2.31,1.75,0.16,0.009,0.407,0.028
949,N5,10:44:00,2012-11-21T00:00:00Z,4.86,G2,x,0.45,0.03,0.47,1.41,0.07,0.17,0.09,0.02,0.02,0.41,0.38,2.67,1.61,0.16,0.003,0.346,0.028
959,N5,10:48:00,2012-12-03T00:00:00Z,4.82,G2,x,1.04,0.2,0.13,2.68,0.09,0.64,0.01,0.02,0.02,0.59,0.65,2.31,1.76,0.27,0.008,0.486,0.035
967,N5,10:46:00,2012-12-18T00:00:00Z,4.89,G2,x,0.39,0.03,0.56,1.32,0.07,0.14,0.07,0.02,0.02,0.66,1.26,2.19,1.67,0.37,0.003,0.468,0.039
975,N5,13:06:00,2013-01-02T00:00:00Z,4.91,G2,x,0.39,0.03,0.65,1.3,0.07,0.14,0.07,0.02,0.02,0.7,1.53,2.07,1.53,0.43,0.004,0.521,0.034
984,N5,12:52:00,2013-01-14T00:00:00Z,4.8,G2,x,0.99,0.15,0.04,2.8,0.02,0.59,0.01,0.02,0.02,0.34,0.51,3.18,0.61,0.12,0.003,0.041,0.008
992,N5,13:00:00,2013-01-28T00:00:00Z,4.82,G2,x,0.35,0.03,0.52,1.29,0.05,0.15,0.07,0.02,0.02,0.65,1.56,2.26,1.68,0.5,0.021,0.472,0.029
1000,N5,09:55:00,2013-01-31T00:00:00Z,4.81,G2,x,0.43,0.02,0.54,1.47,0.07,0.13,0.06,0.02,0.02,0.6,1.05,2.32,1.88,0.45,0.026,0.5,0.038
1009,N5,11:01:00,2013-02-13T00:00:00Z,4.84,G2,x,0.37,0.04,0.73,1.57,0.1,0.15,0.07,0.08,0.01,0.64,1.53,2.22,1.46,0.43,0.02,0.507,0.03
1305,N5,11:50:00,2013-03-13T00:00:00Z,4.87,G2,x,0.41,0.03,0.58,1.4,0.05,0.13,0.08,0.02,0.03,0.6,1.47,2.32,1.47,0.42,0.003,0.469,NA
1370,N5,NA,2013-03-27T00:00:00Z,4.94,G2,x,0.56,0.04,0.45,1.47,0.45,0.16,0.07,0.02,0.04,0.86,1.59,2.03,1.31,0.61,0.033,0.495,NA
1656,N5,NA,2013-04-01T00:00:00Z,4.85,G2,x,0.47,0.04,0.6,1.49,0.08,0.12,0.07,0.02,0.02,0.62,1.13,2.25,1.6,0.36,0.003,0.518,NA
1930,N5,NA,2013-04-11T00:00:00Z,NA,G2,x,0.48,0.05,0.63,1.51,0.1,0.14,0.08,0.02,0.02,0.62,1.65,2.27,1.42,0.43,0.003,0.527,NA
2149,N5,NA,2013-06-28T00:00:00Z,4.82,G2,x,NA,NA,NA,NA,NA,NA,NA,NA,0,0.43,0.48,1.99,1.8,0.28,NA,NA,NA
2432,N5,15:30:00,2013-11-07T00:00:00Z,4.72,G2,x,0.64,0.03,0.77,1.27,0.1,0.19,0.07,0.02,0.03,0.26,5.07,1.47,1.67,1.2,NA,NA,NA
2491,N5,NA,2014-06-13T00:00:00Z,4.77,G2,x,0.79,0.07,0.65,1.38,143.01,0.31,0.08,0.02,0.08,0.44,3.41,1.74,1.95,0.78,0.003,NA,NA
2533,N5,NA,2014-06-14T00:00:00Z,4.97,G2,x,0.57,0.07,0.67,1.61,0.1,0.17,0.08,0.02,0.05,0.63,1.63,2.02,1.74,0.43,0.003,0.529,0.029
2576,N5,NA,2014-06-16T00:00:00Z,4.82,G2,x,0.6,0.06,0.6,1.49,0.09,0.16,0.08,0.02,0.05,0.62,1.57,2.32,1.68,0.42,0.003,0.514,0.027
2719,N5,08:10:00,2014-10-08T00:00:00Z,4.83,G2,x,0.53,0.05,0.51,1.36,0.11,0.17,0.08,0.02,0.05,0.66,1.07,2.09,1.72,0.32,0.008,0.44,0.045
2720,N5,09:15:00,2014-10-08T00:00:00Z,4.83,G2,x,0.5,0.04,0.5,1.35,0.12,0.16,0.08,0.02,0.05,0.66,0.91,2.05,1.76,0.29,0.003,0.454,0.048
2721,N5,10:15:00,2014-10-08T00:00:00Z,4.88,G2,x,0.49,0.04,0.51,1.35,0.12,0.16,0.07,0.02,0.06,0.65,0.77,2.1,1.77,0.25,0.003,0.451,0.043
2722,N5,11:10:00,2014-10-08T00:00:00Z,4.91,G2,x,0.54,0.04,0.49,1.36,0.12,0.15,0.07,0.02,0.13,0.7,0.76,1.99,1.74,0.23,0.003,0.457,0.042
717,O1,NA,2011-11-04T00:00:00Z,5.56,G2,NA,0.54,0.22,0.49,3.52,0.25,1.04,0.51,2.4,0.08,0.37,0.18,2.32,7.98,0.27,NA,NA,NA
736,O1,NA,2012-02-01T00:00:00Z,5.8,G2,NA,0.62,0.22,0.24,2.83,0.21,0.93,0.39,0.19,0.08,0.37,1.27,2.97,4.29,0.44,NA,NA,NA
761,O1,NA,2012-03-22T00:00:00Z,5.15,G2,NA,0.59,0.21,0.53,2.16,0.12,0.65,0.22,0.12,0.06,0.34,2.28,2.36,5.59,0.96,NA,NA,NA
794,O1,NA,2012-04-24T00:00:00Z,4.82,G2,NA,0.56,0.19,0.7,2.61,0.09,0.48,0.14,0.1,0.04,0.36,1.07,2.37,6.96,0.42,NA,NA,NA
827,O1,NA,2012-08-10T00:00:00Z,4.22,G2,NA,0.38,0.17,1.38,2.08,0.1,0.54,0.1,0.44,0.04,0.19,0.15,1.55,28.58,0.56,NA,NA,NA
1109,O1,10:20:00,2013-03-12T00:00:00Z,4.31,G2,NA,0.64,0.24,0.63,3.4,0.04,0.37,0.26,0.21,0.1,0.48,5.12,2.46,8.41,1.35,0.003,0.451,NA
1203,O1,11:10:00,2013-03-13T00:00:00Z,4.79,G2,NA,0.58,0.19,0.77,2.37,0.12,0.42,0.14,0.18,0.05,0.66,1.69,2.6,8.6,0.58,0.006,0.482,0.237
1645,O1,NA,2013-04-01T00:00:00Z,4.88,G2,NA,0.72,0.23,0.82,2.99,0.19,0.46,0.16,0.21,0.05,0.55,2.11,2.48,8.65,0.73,0.048,0.54,NA
1919,O1,NA,2013-04-11T00:00:00Z,NA,G2,NA,0.6,0.2,0.89,2.19,0.13,0.34,0.13,0.14,0.06,0.44,1.8,2.38,9.04,0.62,0.003,0.582,NA
2417,O1,NA,2013-09-03T00:00:00Z,4.72,G2,NA,0.95,0.26,1.21,4.26,0.18,0.56,0.16,0.31,0.05,0.28,2.2,1.98,15.11,0.81,0.015,0.646,0.366
2492,O1,NA,2014-06-13T00:00:00Z,4.55,G2,NA,0.72,0.24,1.13,3.06,0.11,0.42,0.11,0.35,0.08,0.48,1.68,1.83,14.5,0.64,0.003,0.704,0.393
2534,O1,NA,2014-06-14T00:00:00Z,4.68,G2,NA,0.77,0.21,1.08,2.92,0.12,0.38,0.1,0.29,0.05,0.42,1.36,2.11,13.41,0.53,0.003,0.682,0.362
2618,O1,11:40:00,2014-07-16T00:00:00Z,4.61,G2,NA,0.73,0.23,1.02,3.66,0.1,0.41,0.11,0.29,0.07,0.39,1.26,2.27,13.77,0.55,0.003,0.743,0.423
773,P2,NA,2012-03-22T00:00:00Z,4.72,G2,NA,0.46,0.07,0.56,1.55,0.34,0.35,0.13,0.02,0.02,0.32,2.6,2.19,3.84,0.71,NA,NA,NA
804,P2,NA,2012-04-24T00:00:00Z,4.44,G2,NA,0.42,0.1,0.64,1.73,0.46,0.41,0.16,0.04,0.04,0.45,3.19,2,4.93,0.91,NA,NA,NA
830,P2,NA,2012-08-10T00:00:00Z,4.37,G2,NA,0.22,0.07,0.58,1.38,0.51,0.44,0.14,0.14,0.02,0.2,0.46,1.9,11.65,0.47,NA,NA,NA
713,Q2,NA,2011-11-03T00:00:00Z,4.96,G2,NA,1.08,0.16,0.53,2.06,0.32,0.63,0.05,0.08,0.11,0.37,0.01,2.67,5.09,0.16,NA,NA,NA
735,Q2,NA,2012-02-01T00:00:00Z,4.87,G2,NA,0.63,0.08,0.89,2.06,0.04,0.25,0.01,0.02,0.08,0.4,0.06,2.85,5.06,0.19,NA,NA,NA
764,Q2,NA,2012-03-22T00:00:00Z,4.78,G2,NA,0.63,0.09,0.92,2.09,0.02,0.19,0.01,0.02,0.03,0.35,0.32,2.9,4.56,0.21,NA,NA,NA
798,Q2,NA,2012-04-24T00:00:00Z,4.83,G2,NA,0.63,0.1,0.63,2.27,0.04,0.22,0.01,0.02,0.03,0.34,0.04,2.74,4.6,0.15,NA,NA,NA
